#BOF|2021.04.23|18:45:02
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
AAG|CAD|AFTERMATH SILVER LTD|267518964|CA00831V2057|-5.8577|6.1077|30000|
AAU|CAD|ANGOLD RESOURCES LTD|462937248|CA03519P1027|-0.5000|0.7500|900|
AAV|CAD|ADVANTAGE OIL &amp; GAS LTD|61637300|CA00765F1018|-2.4255|2.6755|2000|
ABN|CAD|ABEN RESOURCES LTD|203013503|CA00289T3064|-3.5110|3.7610|1000|
ABS.H|CAD|AMERICAN BIOFUELS INC|332929705|CA02461V1094|-0.5000|0.7500|15000|
ABST|CAD|ABSOLUTE SOFTWARE CORPORATIO|26762719|CA00386B1094|-0.7234|0.9734|250000|
ABX|CAD|BARRICK GOLD CORP|4458865|CA0679011084|-0.5000|0.7500|6100000|
ABXX|CAD|ABAXX TECHNOLOGIES IN|460334414|CA00258V1004|-26.6497|26.8997|150000|
AC|CAD|AIR CANADA|172526919|CA0089118776|-0.6513|0.9013|200000|
ACD|CAD|ACCORD FINANCIAL CORP|14888374|CA00435L1085|-10.0091|10.2591|20000|
ACDC|CAD|EXTREME VEHICLE BATTERY TECH|448394832|CA30227V1058|-7.6550|7.9050|45000|
ACO.X|CAD|ATCO LTD -CLASS I|14888692|CA0467894006|-0.6289|0.8789|10000|
ACO.Y|CAD|ATCO LTD -CL 'II'|14888699|CA0467895094|-3.5400|3.7900|350000|
ACQ|CAD|AUTOCANADA INC|71454887|CA05277B2093|-7.0321|7.2821|100000|
ACRG.B.U|USD|ACREAGE HOLDINGS-SUB VTG D|447262580|CA00489Y7090|-27.9349|27.9949|800|
AD.UN|CAD|ALARIS EQUITY PARTNERS INCOM|443414334|CAC010971017|-0.7397|0.9897|15000|
ADCO|CAD|ADCORE INC|368452206|CA00654B1040|-5.4849|5.7349|700|
ADN|CAD|ACADIAN TIMBER CORP|71454882|CA0042721005|-1.4137|1.6637|3000|
ADW.A|CAD|ANDREW PELLER LTD -A|41515906|CA03444Q1000|-0.7241|0.9741|6000|
ADZN|CAD|ADVENTUS MINING CORP|370692420|CA00791E1025|-20.9967|21.2467|100|
AEG|CAD|AEGIS BRANDS INC|447943468|CA00775H1055|-22.0937|22.3437|200|
AEM|CAD|AGNICO EAGLE MINES LTD|14905022|CA0084741085|-0.6368|0.8868|750000|
AEP|CAD|ATLAS ENGINEERED PRODUCTS LT|295518988|CA0493041085|-0.5000|0.7500|150000|
AFN|CAD|AG GROWTH INTERNATIONAL INC|60754588|CA0011811068|-1.0289|1.2789|15000|
AGF.B|CAD|AGF MANAGEMENT LTD-CLASS B|14895034|CA0010921058|-0.5000|0.7500|500000|
AGI|CAD|ALAMOS GOLD INC-CLASS A|199171889|CA0115321089|-0.6805|0.9305|300000|
AGSG|CAD|AGF GLOBAL SUSTAINABLE GROW|448411111|CA00110M1086|-5.5000|5.7500|15000|
AH|CAD|ALEAFIA HEALTH INC|312274456|CA01444Q1046|-9.3932|9.6432|7000|
AHC|CAD|APOLLO HEALTHCARE CORP|440780599|CA0376311084|-1.0808|1.3308|2000000|
AI|CAD|ATRIUM MORTGAGE INVESTMENT C|113085151|CA04964G1000|-1.2893|1.5393|15000|
AIF|CAD|ALTUS GROUP LTD|82407146|CA02215R1073|-0.6929|0.9429|20000|
AIM|CAD|AIMIA INC|107069822|CA00900Q1037|-0.6567|0.9067|150000|
AIM.PR.A|CAD|GROUPE AEROPLAN INC CUM PFD SER 1|107153073|CA00900Q2027|-4.5000|4.7500|2000|
AIM.PR.C|CAD|AIMIA INC|142255145|CA00900Q4007|-3.0000|3.2500|60000|
AION|CAD|AION THERAPEUTIC INC|442368780|CA00905T1021|-0.5000|0.7500|40000|
ALA|CAD|ALTAGAS LTD|76915265|CA0213611001|-0.5000|0.7500|2900000|
ALA.PR.A|CAD|ALTAGAS LTD|78332988|CA0213612090|-1.0500|1.3000|300000|
ALA.PR.B|CAD|ALTAGAS LTD|208809082|CA0213613080|-2.0000|2.2500|200000|
ALA.PR.G|CAD|ALTAGAS LTD|159836811|CA0213618865|-0.9500|1.2000|15000|
ALA.PR.H|CAD|ALTAGAS LTD|387877842|CA0213618782|-1.5000|1.7500|15000|
ALA.PR.K|CAD|ALTAGAS LTD|267950902|CA0213618378|-1.3333|1.5833|2000|
ALA.PR.U|USD|ALTAGAS LTD|123880106|CA0213615069|-1.1525|1.2125|85000|
ALC|CAD|ALGOMA CENTRAL CORP|14888483|CA0156441077|-5.4747|5.7247|2000|
ALLI|CAD|ALPHA LITHIUM CORP|374083358|CA02075W1059|-7.1500|7.4000|25000|
ALS|CAD|ALTIUS MINERALS CORP.|26762951|CA0209361009|-0.7508|1.0008|9000|
AMC|CAD|ARIZONA METALS CORP|376830679|CA0405181029|-15.1444|15.3944|600000|
AME|CAD|ABACUS MINING &amp; EXPLORATION|274710746|CA0025555065|-4.1610|4.4110|400|
AMM|CAD|ALMADEN MINERALS LTD - B|202212537|CA0202833053|-7.2769|7.5269|2000|
AMPD|CAD|AMPD VENTURES INC|388820728|CA00175D1006|-0.5000|0.7500|3000|
AMY|CAD|AMERICAN MANGANESE INC|72043869|CA02735A1057|-5.5933|5.8433|25000|
AND|CAD|ANDLAUER HEALTHCARE GROUP IN|395088976|CA0342231077|-0.7941|1.0441|4000|
AOC|CAD|ADVANTAGEWON OIL CORP|460614982|CA00775L2057|-0.5000|0.7500|150000|
AOI|CAD|AFRICA OIL CORP|45743607|CA00829Q1019|-11.1379|11.3879|1000|
