ticker,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AA,2021-04-27T00:00:00Z,36.75,37.7,35.82,36.04,5798709,36.75,37.7,35.82,36.04,5798709,0,1
AAA,2021-04-27T00:00:00Z,25.035,25.04,25.035,25.0352,1416,25.035,25.04,25.035,25.0352,1416,0,1
AAAU,2021-04-27T00:00:00Z,17.69,17.76,17.6701,17.74,239478,17.69,17.76,17.6701,17.74,239478,0,1
AABB,2021-04-27T00:00:00Z,0.2116,0.228,0.205,0.225,16613097,0.2116,0.228,0.205,0.225,16613097,0,1
AABVF,2021-04-27T00:00:00Z,0.15076,0.155228,0.14664,0.155228,3400,0.15076,0.155228,0.14664,0.155228,3400,0,1
AAC,2021-04-27T00:00:00Z,9.8,9.8694,9.7911,9.8395,109521,9.8,9.8694,9.7911,9.8395,109521,0,1
AACG,2021-04-27T00:00:00Z,3.2,3.28,3.05,3.1,333790,3.2,3.28,3.05,3.1,333790,0,1
AACQ,2021-04-27T00:00:00Z,10.03,10.22,10.01,10.1,1023091,10.03,10.22,10.01,10.1,1023091,0,1
AACQU,2021-04-27T00:00:00Z,10.87,10.8929,10.61,10.61,3643,10.87,10.8929,10.61,10.61,3643,0,1
AACTF,2021-04-27T00:00:00Z,0.247,0.25,0.2414,0.24755,42360,0.247,0.25,0.2414,0.24755,42360,0,1
AADR,2021-04-27T00:00:00Z,66.536,66.71,66.47,66.5,6872,66.536,66.71,66.47,66.5,6872,0,1
AAGC,2021-04-27T00:00:00Z,0.0065,0.0078,0.0064,0.0073,12820347,0.0065,0.0078,0.0064,0.0073,12820347,0,1
AAGFF,2021-04-27T00:00:00Z,0.6299,0.6299,0.61,0.62492,173618,0.6299,0.6299,0.61,0.62492,173618,0,1
AAGH,2021-04-27T00:00:00Z,0.148,0.1579,0.135,0.15,9500,0.148,0.1579,0.135,0.15,9500,0,1
AAGIY,2021-04-27T00:00:00Z,51.435,51.73,50.67,50.67,187265,51.435,51.73,50.67,50.67,187265,0,1
AAIC,2021-04-27T00:00:00Z,4.15,4.21,4.13,4.14,170660,4.15,4.21,4.13,4.14,170660,0,1
AAIRF,2021-04-27T00:00:00Z,0.1474,0.16073,0.1362,0.15,106010,0.1474,0.16073,0.1362,0.15,106010,0,1
AAL,2021-04-27T00:00:00Z,21.76,22.07,21.6,22.01,26529185,21.76,22.07,21.6,22.01,26529185,0,1
AAMC,2021-04-27T00:00:00Z,17.7,17.89,17.24,17.35,18083,17.7,17.89,17.24,17.35,18083,0,1
AAME,2021-04-27T00:00:00Z,4.02,4.21,4.01,4.21,61662,4.02,4.21,4.01,4.21,61662,0,1
AAMMF,2021-04-27T00:00:00Z,0.1948,0.1948,0.19355,0.19355,4233,0.1948,0.1948,0.19355,0.19355,4233,0,1
AAN,2021-04-27T00:00:00Z,34.16,34.26,29.61,30.25,932225,34.16,34.26,29.61,30.25,932225,0,1
AAOI,2021-04-27T00:00:00Z,8.13,8.29,8.1,8.29,358155,8.13,8.29,8.1,8.29,358155,0,1
