#BOF|2021.04.23|19:00:02
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
A|USD|AGILENT TECHNOLOGIES INC|1715006|XXXXXXXU1016|-0.3590|0.4190|9300000|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|-0.1900|0.2500|>10000000|
AAA|USD|AAF FIRST PRIORITY CLO BOND|444250694|XXXXXXXF6566|-1.0897|1.1497|100|
AAAU|USD|GOLDMAN SACHS PHYSICAL GOLD|458886642|XXXXXXXK1034|-1.2377|1.2977|250000|
AABB|USD|ASIA BROADBAND INC|75216559|XXXXXXXL1008|-16.9079|16.9679|8400000|
AABVF|USD|ABERDEEN INTERNATIONAL INC.|60152167|CA0030691012|-0.2400|0.3000|10000|
AAC|USD|ARES ACQUISITION CORP-A|477011235|KYG330321061|-0.5669|0.6269|20000|
AAC U|USD|ARES ACQUISITION CORP|468799337|KYG330321145|-0.5188|0.5788|650000|
AACG|USD|ATA CREATIVITY GLOBAL - ADR|48811132|XXXXXXXV1061|-37.8684|37.9284|65000|
AACQ|USD|ARTIUS ACQUISITION INC-CL A|443757877|KY04316G1057|-0.7150|0.7750|650000|
AACQU|USD|ARTIUS ACQUISITION INC|434092878|KY04316G2048|-1.1600|1.2200|25000|
AACTF|USD|AURORA SOLAR TECHNOLOGIES IN|195675323|CA05207J1084|-8.9514|9.0114|300000|
AADR|USD|ADVISORSHARES DORSEY WRIGHT|77459165|XXXXXXXY2063|-10.4418|10.5018|15000|
AAGC|USD|ALL AMERICAN GOLD CORP|88362966|XXXXXXXV1026|-1.1572|1.2172|2400000|
AAGFF|USD|AFTERMATH SILVER LTD|267518971|CA00831V2057|-16.5258|16.5858|350000|
AAGH|USD|AMERICA GREAT HEALTH|280898497|XXXXXXXT1016|-1.4820|1.5420|150000|
AAGIY|USD|AIA GROUP LTD-SP ADR|90162715|XXXXXXX72053|-0.6994|0.7594|300000|
AAIC|USD|ARLINGTON ASSET INVESTMENT-A|69259320|XXXXXXX62051|-0.5511|0.6111|550000|
AAIC PRB|USD|ARLINGTON ASSET INVT CORP PERP PFD|276016743|XXXXXXX66011|-41.3565|41.4165|20000|
AAIC PRC|USD|ARLINGTON ASSET INVEST|356101385|XXXXXXX67001|-53.1861|53.2461|80000|
AAIRF|USD|AMERICAN AIRES INC|452068989|CA02377G1054|-17.7936|17.8536|20000|
AAL|USD|AMERICAN AIRLINES GROUP INC|139673266|XXXXXXXR1023|-0.2180|0.2780|4800000|
AAMC|USD|ALTISOURCE ASSET MANAGEMENT|118834665|VI02153X1080|-0.7514|0.8114|30000|
AAME|USD|ATLANTIC AMERICAN CORP|265585|XXXXXXX91008|-4.0481|4.1081|150000|
AAMMF|USD|ALMADEX MINERALS LTD-NEW|319496815|CA02028L1076|-0.8454|0.9054|30000|
AAMUQ|USD|AMERICAN AMMUNITION INC-CA|30207305|XXXXXXX62093|-0.1900|0.2500|350000|
AAN|USD|AARON'S CO INC-THE|455975127|XXXXXXXW1080|-0.3590|0.4190|2600000|
AAOI|USD|APPLIED OPTOELECTRONICS INC|135423662|XXXXXXXU1025|-0.5649|0.6249|1100000|
AAON|USD|AAON INC|265595|XXXXXXX02069|-0.1900|0.2500|100000|
